requested_time_since_log_start_s,elapsed_since_image_range_valid_s,actual_sample_time_s,sample_offset_ms,image_distance_m,laser_distance_m,fused_distance_m,image_range_valid,fused_range_valid,laser_fusion_used,image_closing_speed_m_s,fused_closing_speed_m_s,target_locked
29.814,3.500,29.814,0.015,31.5644,,31.5644,1,1,0,2.7960,2.7960,1
29.914,3.600,29.909,-4.987,31.5644,,31.5644,1,1,0,4.0110,4.0110,1
30.014,3.700,30.009,-5.005,30.9073,,30.9073,1,1,0,4.0179,4.0179,1
30.114,3.800,30.109,-4.985,30.9073,,30.9073,1,1,0,3.6077,3.6077,1
30.214,3.900,30.209,-4.963,30.2764,,30.2764,1,1,0,3.3386,3.3386,1
30.314,4.000,30.314,-0.002,30.2764,,30.2764,1,1,0,3.0035,3.0035,1
30.414,4.100,30.409,-4.966,29.6703,,29.6703,1,1,0,0.8479,0.8479,1
30.514,4.200,30.514,-0.003,29.0875,,29.0875,1,1,0,4.7184,4.7184,1
30.614,4.300,30.609,-5.002,29.0875,,29.0875,1,1,0,5.2894,5.2894,1
30.714,4.400,30.709,-4.967,29.0875,,29.0875,1,1,0,1.5057,1.5057,1
30.814,4.500,30.814,0.048,29.0875,,29.0875,1,1,0,0.0001,0.0001,1
30.914,4.600,30.909,-4.870,28.5267,,28.5267,1,1,0,1.1082,1.1082,1
31.014,4.700,31.014,0.116,28.5267,,28.5267,1,1,0,3.2752,3.2752,1
31.114,4.800,31.109,-4.816,27.9866,,27.9866,1,1,0,2.1749,2.1749,1
31.214,4.900,31.214,0.046,27.9866,,27.9866,1,1,0,3.1593,3.1593,1
31.314,5.000,31.309,-4.986,27.9866,,27.9866,1,1,0,1.6677,1.6677,1
31.414,5.100,31.409,-5.002,27.4662,,27.4662,1,1,0,2.4638,2.4638,1
31.514,5.200,31.514,-0.004,26.9644,,26.9644,1,1,0,4.1817,4.1817,1
31.614,5.300,31.609,-5.005,26.9644,,26.9644,1,1,0,2.9413,2.9413,1
31.714,5.400,31.714,0.002,26.4802,,26.4802,1,1,0,1.9464,1.9464,1
31.814,5.500,31.809,-4.969,26.9644,,26.9644,1,1,0,2.1722,2.1722,1
